property_name,property_id,total_opex,city,locality,avg_rent,occupancy_ratio,months_of_stay,CP/ Room,GrossMargin,Furnished Price,Semi-Furnished Price,Unfurnished Price,Cluster,PCA1,PCA2
Settl. Dinant,12,170000,Bangalore,HSR Layout,16070.0,100.0,2.03,13650.0,15.059116365899191,23166.0,16666.0,10000.0,1,0.2958690861825626,-0.6367559061969945
Settl. Monsanto,48,175000,Bangalore,Haralur,25790.0,97.14,1.83,10000.0,61.22528111671191,15833.0,15888.0,17166.0,0,0.9830909380160889,3.268748716332858
Settl. Deia,57,165000,Gurgaon,Sector 39,28732.0,96.97,1.41,22727.0,20.90004176527913,23166.0,16666.0,10000.0,2,-1.7985912812884453,-0.17111505627688936
Settl. Siena Block A,61,245000,Bangalore,Manyata Tech Park,10297.0,75.96,1.39,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,0.6065923262983294,-1.0570398374593757
Settl. Cervo,77,175000,Bangalore,HSR Extension,10499.0,22.86,1.67,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,0.3785638789484472,-0.8094488702661983
Hyderabad Listing Property,94,0,Hyderabad,Jubliee Hills,28000.0,0.0,1.0,15000.0,21.54401380825357,23166.0,16666.0,10000.0,2,-1.0448180979882065,0.8811019689255584
Settl. Riga,30,90000,Bangalore,HSR Layout,31680.0,100.0,2.64,18492.0,41.62878787878788,23166.0,16666.0,10000.0,2,-1.4980631806967895,1.4621798408583355
Settl. Norcia,21,75000,Bangalore,Koramangala,29703.0,100.0,2.19,24000.0,19.2000807999192,23166.0,16666.0,10000.0,2,-2.3308094596998976,0.03212728477290553
Settl. Altea,49,85000,Bangalore,Indiranagar,26320.0,100.0,2.39,19641.0,25.376139817629177,23166.0,16666.0,10000.0,2,-1.4334699224933611,0.3485644950299759
Settl. Sofia,3,160000,Bangalore,HSR Layout,17030.0,98.44,1.63,16480.0,3.229594832648268,23166.0,16666.0,10000.0,1,-0.23844164719094854,-1.2527116414715131
Settl. Bosa,20,195000,Bangalore,Sarjapur Road,25735.0,97.44,2.2,14103.0,45.19914513308724,23166.0,16666.0,10000.0,2,-0.1725751875448867,1.1856219028582768
Settl. Santana,37,100000,Bangalore,Indiranagar,25086.0,100.0,3.11,15000.0,40.2056924180818,23166.0,16666.0,10000.0,2,-0.5803661539707998,1.1836070374356757
Settl. Vienna,33,80000,Gurgaon,Sector 31,16817.0,100.0,1.95,13781.0,18.05316049235892,23166.0,16666.0,10000.0,1,-0.04153015773081341,-0.16461948247163702
Settl. Pisa Block A,76,220000,Bangalore,Whitefield,15976.0,77.27,1.55,18000.0,-12.669003505257889,23166.0,16666.0,10000.0,1,-0.24665844529896108,-2.3221250215686537
Royal life,104,10000,Bangalore,Bangalore area,15353.0,9.68,1.29,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,-0.378728936711942,0.05017602287500814
Settl. Hallstatt,5,130000,Bangalore,ITPL,16930.0,84.62,1.98,13846.0,18.21618428824572,23166.0,16666.0,10000.0,1,0.09814001521926422,-0.32241439702968006
Settl. Alberti,55,175000,Bangalore,Kasavanahalli,18117.0,81.43,1.59,13500.0,25.48435171385991,15833.0,15888.0,17166.0,0,0.7978361264570047,0.9772662501387068
Settl. Tavira,58,200000,Gurgaon,Sector 52,20207.0,98.75,9.07,15000.0,21.54401380825357,23166.0,16666.0,10000.0,1,-0.031024813854170732,-0.2812502370303238
