total_opex,CP/ Room,GrossMargin,avg_rent,occupancy_ratio,months_of_stay,Furnished Price,Semi-Furnished Price,Unfurnished Price,locality_HSR Layout,locality_ITPL,locality_Indiranagar,locality_Koramangala,locality_Marathahalli,locality_Sarjapur Road,locality_Sector 31,locality_Sector 39,locality_Sector 43,locality_Sector 47,locality_Sector 49,locality_Sector 51,locality_Sector 52,city_Gurgaon
3.274582310954882,0.9248626184080949,-0.7883738201907952,-0.03525784577998705,-1.5740665491156371,-1.308577802682588,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True
-0.8992769498219084,-1.2473696059089505,-0.34913241725098343,-1.3932009303413504,-0.7404390551624603,-0.29801650745527086,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0.7133504918418514,-0.942136461662605,0.45947908471220666,-0.6969371603971397,-0.6982019288021666,-1.9030256234045395,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0.42876917860707026,-0.5198869598857132,-0.4216940658806871,0.3259575765248413,-2.3143277637460575,-0.17912694331088094,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5198351988422002,-0.5198869598857132,2.0519138498748415,1.2762066586063883,0.6489401014261675,1.4456970999957865,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.42876917860707026,-1.6854070289399639,0.6419221127712036,-1.2429689841851883,-0.8338053344852165,-0.7141299819606372,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
-0.33011432335234614,-0.5198869598857132,-0.4216940658806871,0.6244086169398236,0.6489401014261675,-1.8435808413323442,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
-0.14039344786249203,0.5249019466370214,-0.4366296271899114,-0.10113299878390711,0.6489401014261675,0.4549507321258677,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.8044165120769814,-0.6892201545132497,-1.8045646272046278,-1.5981458507979907,0.6489401014261675,-0.020607524451693802,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-0.8992769498219084,1.2214278843188444,-0.2893174533593656,0.5336472950233115,0.6489401014261675,-0.6348702725310436,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.6146956365871273,0.8651161713091652,0.5397189947870308,0.9548823011761559,0.6489401014261675,0.8116194245590379,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8044165120769814,0.25403074864964575,1.0883356396699986,0.9422562301837379,0.6489401014261675,1.0890284075626153,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-0.5198351988422002,-0.2103198764715696,1.4324201844629618,0.8472862179364198,0.6489401014261675,0.05865218497789977,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1.661954869291122,-0.2877116473251055,-0.587789955616465,-0.7952009302946538,-1.1605873121148615,-0.8726494008198239,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True
-0.5198351988422002,1.306558832257734,0.48604969497765393,1.2902966218877823,0.6489401014261675,1.0890284075626153,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.8082109295867785,-0.937802522494807,-0.9581340175950886,-1.4363857528661423,0.6489401014261675,0.03883725762050094,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.7133504918418514,1.8721378936553743,-0.4749643503700613,0.8805897675106239,-0.024630913687999495,-1.1896882385381982,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-0.7095560743320544,0.5611212953964763,1.2397470483955055,1.4200340759982804,0.6489401014261675,1.2475478264218025,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.9941373875668355,2.266216790841579,-0.6155875423758502,1.058269694085086,0.6489401014261675,0.35587609533887526,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.8044165120769814,0.9168138742393273,-0.10469514497152044,0.4392262423843594,0.6489401014261675,0.7521746424868431,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.6184900540969244,-0.06172767643278068,-1.9366888855033328,-1.2607186781890223,0.30215106394164554,-0.7537598366754339,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1.2825131183114138,-0.7975686337082,1.5350920850942136,0.33217911875298933,0.07985039888746508,0.3756910226962741,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-0.5198351988422002,-0.5198869598857132,1.1220265652248427,0.21342085680981118,0.6489401014261675,2.1788494122195257,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-0.8992769498219084,-0.8972492345675542,-0.7104624235712776,-1.2996948103830084,0.6489401014261675,-0.11968216123868577,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.049327427627362065,-0.8771273741456349,-0.6969768630098042,-1.2790173318012223,-2.770044127107127,-0.06023737916649059,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
